text,intent
What is the code review policy at Harri?,code_review_policy
Who is responsible for reviewing pull requests?,code_review_policy
How many reviewers are required for a critical PR?,code_review_policy
List the steps in the code review process.,code_review_policy
When should a reviewer start reviewing a pull request?,code_review_policy
Where do I announce major code changes after merging?,code_review_policy
What should I include in my pull request description?,code_review_policy
How do I ensure my PR meets the checklist?,code_review_policy
What happens after a pull request is approved?,code_review_policy
Who can merge code to the main branch?,code_review_policy
What are common reasons for requesting changes?,code_review_policy
How long do reviewers have to provide feedback?,code_review_policy
Where can I find code review guidelines?,code_review_policy
What should be checked before requesting a review?,code_review_policy
Who should review backend-related pull requests?,code_review_policy
How do we handle documentation updates in reviews?,code_review_policy
What are the expectations after merging a feature branch?,code_review_policy
Who approves merging into production?,code_review_policy
Where can I read the team’s style guide?,code_review_policy
What’s required before marking a PR ready for review?,code_review_policy
When should I request a second reviewer?,code_review_policy
Who is allowed to merge changes to main?,code_review_policy
What should I do if tests fail during review?,code_review_policy
How do reviewers provide constructive feedback?,code_review_policy
Where do I link Jira tickets in a PR?,code_review_policy
Who handles approvals for risky changes?,code_review_policy
What are examples of maintainability issues?,code_review_policy
How should reviewers communicate feedback?,code_review_policy
When are two reviewers mandatory?,code_review_policy
What does the PR checklist include?,code_review_policy
How do I test locally before review?,code_review_policy
Who manages code review quality?,code_review_policy
Where do I find onboarding resources about reviews?,code_review_policy
What are the key rules in code review?,code_review_policy
How do I announce merged code changes?,code_review_policy
Who should be tagged for frontend reviews?,code_review_policy
How can I make reviews more efficient?,code_review_policy
What’s the review turnaround expectation?,code_review_policy
How should CI/CD checks affect review readiness?,code_review_policy
What are the reviewer’s main responsibilities?,code_review_policy
"hey, what’s the review policy again?",code_review_policy
can you remind me how PR reviews work?,code_review_policy
"yo, who approves my PRs?",code_review_policy
need to check if two reviewers are needed,code_review_policy
what’s the rule before merging to main?,code_review_policy
pls show code review checklist,code_review_policy
where do i post after merging?,code_review_policy
who handles PR approvals?,code_review_policy
how strict is the code review policy?,code_review_policy
anyone know how long reviews take?,code_review_policy
how do i start a code review?,code_review_policy
where can i see open PRs for review?,code_review_policy
what happens if no one reviews my PR?,code_review_policy
how do i know if i followed the review process?,code_review_policy
who checks test coverage in reviews?,code_review_policy
is documentation required for every PR?,code_review_policy
how do i fix issues found in review?,code_review_policy
what’s the escalation path for blocked PRs?,code_review_policy
how can i make sure reviewers respond faster?,code_review_policy
do i need approval from lead before merging?,code_review_policy
summarize harri’s review process,code_review_policy
explain the procedure for code reviews,code_review_policy
list reviewer best practices,code_review_policy
give me company rules for pull requests,code_review_policy
describe the workflow for code changes,code_review_policy
outline review requirements for engineers,code_review_policy
what’s the internal policy for merging PRs?,code_review_policy
where are pull request standards documented?,code_review_policy
who’s accountable for review quality?,code_review_policy
how should devs prepare code before review?,code_review_policy
what criteria must be met before merging?,code_review_policy
are reviewers supposed to run tests locally?,code_review_policy
who updates documentation during PR reviews?,code_review_policy
what are common review mistakes?,code_review_policy
how do leads monitor review consistency?,code_review_policy
who announces major merged changes?,code_review_policy
when do i delete a feature branch?,code_review_policy
do all PRs need CI checks?,code_review_policy
how do i reference jira tickets properly?,code_review_policy
can i approve my own PR?,code_review_policy
what’s the etiquette for reviewing code?,code_review_policy
who handles cross-team reviews?,code_review_policy
how do i know if a PR is ready?,code_review_policy
who can merge high-risk changes?,code_review_policy
is security review part of the process?,code_review_policy
how do i check test results before merging?,code_review_policy
are team leads required to review every PR?,code_review_policy
what’s the expected review feedback format?,code_review_policy
how often should we review code?,code_review_policy
where do i track PR review status?,code_review_policy
what happens post-approval in the review flow?,code_review_policy
how are review discussions handled?,code_review_policy
when is it ok to skip a review?,code_review_policy
who ensures all guidelines are followed?,code_review_policy
where do i share PR updates after merging?,code_review_policy
how do i find review-related announcements?,code_review_policy
What is the deployment process at Harri?,deployment_process
Who can deploy code to production?,deployment_process
List all steps in the deployment workflow.,deployment_process
How do I deploy to staging?,deployment_process
Where do I check deployment logs?,deployment_process
What should I do before deploying code?,deployment_process
Who handles production deployments?,deployment_process
How do I confirm if a deployment succeeded?,deployment_process
What’s the rollback command for production?,deployment_process
When should I deploy code to staging?,deployment_process
Where should I announce deployments?,deployment_process
How can I run smoke tests after deployment?,deployment_process
Who maintains the deployment scripts?,deployment_process
What’s the escalation step for failed deployments?,deployment_process
How do I trigger an automated deployment?,deployment_process
When should deployments be scheduled?,deployment_process
Who reviews deployment logs?,deployment_process
How do I check if CI/CD passed before deploying?,deployment_process
Where do I find the deployment dashboard?,deployment_process
What should I verify after deploying to production?,deployment_process
How do I roll back a failed deployment?,deployment_process
Who is responsible for staging deployments?,deployment_process
List all recent production deployments.,deployment_process
What are best practices for deployment?,deployment_process
How can I deploy from the CLI?,deployment_process
What script is used to deploy services?,deployment_process
Who do I contact after a failed deployment?,deployment_process
How do I handle environment variable changes?,deployment_process
Where can I find deployment documentation?,deployment_process
What should I check after a rollback?,deployment_process
Who is on-call for deployment support?,deployment_process
How do I verify deployment health?,deployment_process
What command starts a staging deployment?,deployment_process
Where do I post deployment status updates?,deployment_process
Who maintains the deployment schedule?,deployment_process
When should I announce successful deployments?,deployment_process
How do I document a failed deployment?,deployment_process
What’s the correct rollback procedure?,deployment_process
Where do I view previous deployment results?,deployment_process
How do I test a deployment locally?,deployment_process
"yo, how do i deploy this thing?",deployment_process
"hey, what’s the prod deploy process again?",deployment_process
anyone remember how to roll back a bad deploy?,deployment_process
can you pull up the deploy steps?,deployment_process
how do i check if deployment went through?,deployment_process
pls show me the deployment guide,deployment_process
do we announce in #deployments channel?,deployment_process
"need to run deploy.sh, right?",deployment_process
who’s allowed to push to prod?,deployment_process
how do i know if staging build succeeded?,deployment_process
how can i check recent deployments?,deployment_process
where can i view deployment history?,deployment_process
find deployment info by service name,deployment_process
how to know if deployment failed?,deployment_process
what’s the way to confirm production release?,deployment_process
can i deploy without CI passing?,deployment_process
how to trigger deployment manually?,deployment_process
who approves production releases?,deployment_process
any rollback command examples?,deployment_process
how do i verify deployment health checks?,deployment_process
summarize the company deployment workflow,deployment_process
explain harri’s release process,deployment_process
list deployment stages for production,deployment_process
describe what happens post-deployment,deployment_process
give me deployment prerequisites,deployment_process
outline rollback instructions,deployment_process
what’s the procedure for hotfix deployments?,deployment_process
where do we announce completed releases?,deployment_process
who’s in charge of staging environment?,deployment_process
